Manufacturer Disclosure Statement for Medical Device Security -- MDS2,,,,,,,,,,,,,
"Bio-Rad Laboratories, Inc.",D-100. Software revision 1.4.1,DC-MDS2-1032A,Apr 27 2021,,,,,,,,,,
,,,,,,,,,,,,,
Question ID,Question,,See note,,,,Notes,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,0,
DOC-1,Manufacturer Name,"Bio-Rad Laboratories, Inc.",__,,,,,,,,,0,Note 0
DOC-2,Device Description,"The D-100 Hemoglobin Testing System uses the principles of high-performance liquid chromatography (HPLC).  A high-pressure pumping system delivers a buffer solution to an analytical cartridge and detector.  Whole blood samples undergo an automatic hemolysis and dilution process before being introduced into analytical flow path.  Prediluted samples are identified based upon the use of a microvial adapter in the sample pack, and the automatic dilution step is omitted.
A programmed buffer gradient of increasing ionic strength delivers the sample delivers the sample to the analytical cartridge where the hemoglobin species are separated based upon their ionic interactions with the cartridge material and the buffer gradient.  The separated hemoglobin species then pass through the flow cell where changes in the absorbance are measured at 415 nm and recorded as a digital chromatogram. 
The software performs an analysis of the hemoglobin peaks in the chromatogram, recording information including retention time, peak area, and relative area percent.  Any peaks that are identified as the target analyte(s) are calibrated before generating a sample report and chromatogram for each sample.  The software includes an optional feature (Advisor) that compares the sample report against a set of rules that are programmed to take user-specified actions.
",__,,,,,,,,,0,Note 0
DOC-3,Device Model ,D-100. Software revision 1.4.1,__,,,,,,,,,0,Note 0
DOC-4,Document ID,DC-MDS2-1032A,__,,,,,,,,,0,Note 0
DOC-5,Manufacturer Contact Information,Go to Contact Us on www.bio-rad.com,__,,,,,,,,,0,Note 0
DOC-6,Intended use of device in network-connected environment:  ,"The purpose of connecting the device to the network may be for file sharing (export, database backup, PDF reports) , remote support via BRiCare. ",__,,,,,,,,,0,Note 0
DOC-7,Document Release Date,Apr 27 2021,__,,,,,,,,,0,Note 0
DOC-8,Coordinated Vulnerability Disclosure: Does the manufacturer have a vulnerability disclosure program for this device?,No,__,,,,,,,,,0,Note 0
DOC-9,ISAO: Is the manufacturer part of an Information Sharing and Analysis Organization?,No,__,,,,,,,,,0,Note 0
DOC-10,Diagram: Is a network or data flow diagram available that indicates connections to other system components or expected external resources?,Yes,Note 1,,,,"DOC-10 - 
LIS communication requires RS 232 connection.
Communication with Track system requries RS 232 connection
Remote support can be done using BRiCare via SSL connection (port 443).
Database is onboard and uses secure connection
USB external drive and mapped network drives can be used for exporting allowed data from the instrument.
See network diagram for more details",,,,,0,Note 0
DOC-11,"SaMD: Is the device Software as a Medical Device (i.e. software-only, no hardware)? ",No,__,,,,,,,,,0,Note 0
DOC-11.1,Does the SaMD contain an operating system?,N/A,__,,,,,,,,,0,Note 0
DOC-11.2,Does the SaMD rely on an owner/operator provided operating system? ,N/A,__,,,,,,,,,0,Note 0
DOC-11.3,Is the SaMD hosted by the manufacturer? ,N/A,__,,,,,,,,,0,Note 0
DOC-11.4,Is the SaMD hosted by the customer? ,N/A,__,,,,,,,,,0,Note 0
,,,,,,,,,,,,0,Note 0
,,"Yes, No, 
N/A, or 
See Note",Note #,,,,,,,,,0,Note 0
,MANAGEMENT OF PERSONALLY IDENTIFIABLE INFORMATION ,,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,0,Note 0
MPII-1,"Can this device display, transmit, store, or modify personally identifiable information (e.g. electronic Protected Health Information (ePHI))? ",Yes,Note 2,,,,"MPII-1 - 1. Private data is available only onboard and by GUI, reports and LIS (according to configuration)
a. The software can be configured to not send demographics to LIS or export and print demographics.  
b. The software is configured to backup without demographics for un-authorized users(FSEs)",,AR-2,A.15.1.4,,0,Note 0
MPII-2,Does the device maintain personally identifiable information? ,Yes,__,,,,,,AR-2,A.15.1.4,,0,Note 0
MPII-2.1,"Does the device maintain personally identifiable information temporarily in volatile memory (i.e., until cleared by power-off or reset)?  ",Yes,__,,,,,,AR-2,A.15.1.4,,0,Note 0
MPII-2.2,Does the device store personally identifiable information persistently on internal media? ,Yes,Note 3,,,,MPII-2.2 - Saved in pesrsitent DB,,,,,0,Note 0
MPII-2.3,Is personally identifiable information preserved in the device’s non-volatile memory until explicitly erased?,No,__,,,,,,,,,0,Note 0
MPII-2.4,Does the device store personally identifiable information in a database? ,Yes,__,,,,,,,,,0,Note 0
MPII-2.5,Does the device allow configuration to automatically delete local personally identifiable information after it is stored to a long term solution?,No,__,,,,,,AR-2,A.15.1.4,,0,Note 0
MPII-2.6,"Does the device import/export personally identifiable information with other systems (e.g., a wearable monitoring device might export personally identifiable information to a server)?  ",Yes,Note 4,,,,MPII -2.6 - LIS orders and results can contain PID information according to settings,,AR-2,A.15.1.4,,0,Note 0
MPII-2.7,"Does the device maintain personally identifiable information when powered off, or during power service interruptions? ",No,__,,,,,,AR-2,A.15.1.4,,0,Note 0
MPII-2.8,"Does the device allow the internal media to be removed by a service technician (e.g., for separate destruction or customer retention)?",Yes,__,,,,,,,,,0,Note 0
MPII-2.9,"Does the device allow personally identifiable information records be stored in a separate location from the device’s operating system (i.e. secondary internal drive, alternate drive partition, or remote storage location)? ",Yes,Note 5,,,,MPII-2.9 - PID information can be stored on portable usb devices and lab shared network folder,,AR-2,A.15.1.4,,0,Note 0
MPII-3,"Does the device have mechanisms used for the transmitting, importing/exporting of personally identifiable information?",Yes,Note 6,,,,MPII-3 - via LIS communication PID information can be transmitted. The system can be configured to omit the PID information,,AR-2,A.15.1.4,,0,Note 0
MPII-3.1,"Does the device display personally identifiable information (e.g., video display, etc.)?",Yes,__,,,,,,AR-2,A.15.1.4,,0,Note 0
MPII-3.2,Does the device generate hardcopy reports or images containing personally identifiable information?,Yes,__,,,,,,AR-2,A.15.1.4,,0,Note 0
MPII-3.3,"Does the device retrieve personally identifiable information from or record personally identifiable information to removable media (e.g., removable-HDD, USB memory, DVD-R/RW,CD-R/RW, tape, CF/SD card, memory stick, etc.)?",Yes,__,,,,,,AR-2,A.15.1.4,,0,
MPII-3.4,"Does the device transmit/receive or import/export personally identifiable information via dedicated cable connection (e.g., RS-232, RS-423, USB, FireWire, etc.)?",Yes,Note 7,,,,MPII-3.4- LIS communication uses RS-232,,AR-2,A.15.1.4,,0,
MPII-3.5,"Does the device transmit/receive personally identifiable information via a wired network connection (e.g., RJ45, fiber optic,  etc.)? ",Yes,Note 8,,,,"MPII- 3.5 - Database backups, PDF reports can be saved on shared network drive via network connection (RJ45). Backups can be read from a network connection",,AR-2,A.15.1.4,,0,
MPII-3.6,"Does the device transmit/receive personally identifiable information via a wireless network connection (e.g., WiFi, Bluetooth, NFC, infrared, cellular, etc.)?",No,__,,,,,,AR-2,A.15.1.4,,0,
